item_no,item_description,vendor,item_status,active,total_stock,warehouse_stock,base_price,rrp
SKU00001,Product 1,BrandD,Discontinued,Y,259,104,15.79,22.89
SKU00002,Product 2,BrandE,Active,Y,473,198,18.23,23.66
SKU00003,Product 3,BrandC,Obsolete,Y,232,93,14.59,20.69
SKU00004,Product 4,BrandE,Active,Y,374,246,6.01,7.38
SKU00005,Product 5,BrandE,Active,Y,59,33,8.8,12.3
SKU00006,Product 6,BrandB,Active,Y,386,200,17.12,22.17
SKU00007,Product 7,BrandC,Active,Y,413,316,7.51,10.7
SKU00008,Product 8,BrandC,Obsolete,Y,177,84,15.48,19.21
SKU00009,Product 9,BrandC,Active,Y,428,238,16.7,24.54
SKU00010,Product 10,BrandE,Active,Y,373,289,9.95,12.66
SKU00011,Product 11,BrandD,Active,Y,95,54,9.83,12.84
SKU00012,Product 12,BrandC,Obsolete,Y,50,31,13.37,19.86
SKU00013,Product 13,BrandE,Active,Y,401,173,17.92,24.61
SKU00014,Product 14,BrandB,Active,Y,57,41,8.36,10.95
SKU00015,Product 15,BrandD,Obsolete,Y,504,287,19.12,28.39
SKU00016,Product 16,BrandB,Active,Y,185,133,13.99,18.17
SKU00017,Product 17,BrandD,Active,Y,457,229,19.88,24.42
SKU00018,Product 18,BrandE,Obsolete,Y,213,121,6.34,9.5
SKU00019,Product 19,BrandA,Active,Y,120,86,6.9,8.83
SKU00020,Product 20,BrandD,Active,Y,283,223,17.4,25.32
SKU00021,Product 21,BrandB,Active,Y,175,74,17.97,22.46
SKU00022,Product 22,BrandE,Active,N,183,133,11.68,16.58
SKU00023,Product 23,BrandD,Active,Y,293,152,15.71,21.32
SKU00024,Product 24,BrandA,Active,Y,180,112,18.01,26.91
SKU00025,Product 25,BrandA,Active,N,144,74,5.65,7.72
SKU00026,Product 26,BrandC,Discontinued,Y,171,110,13.61,16.43
SKU00027,Product 27,BrandC,Active,Y,122,66,17.8,24.58
SKU00028,Product 28,BrandB,Active,Y,213,114,10.97,13.64
SKU00029,Product 29,BrandD,Discontinued,Y,293,122,9.54,13.73
SKU00030,Product 30,BrandD,Discontinued,Y,259,119,16.94,24.68
SKU00031,Product 31,BrandC,Active,Y,201,154,10.04,13.5
SKU00032,Product 32,BrandD,Obsolete,Y,130,104,5.05,7.25
SKU00033,Product 33,BrandD,Active,Y,269,192,19.39,24.11
SKU00034,Product 34,BrandA,Active,N,157,81,13.88,18.71
SKU00035,Product 35,BrandC,Active,Y,73,41,17.29,22.79
SKU00036,Product 36,BrandE,Obsolete,Y,76,53,17.38,24.04
SKU00037,Product 37,BrandC,Obsolete,Y,249,196,6.0,7.28
SKU00038,Product 38,BrandE,Active,Y,125,73,7.56,10.78
SKU00039,Product 39,BrandA,Obsolete,Y,70,51,9.67,11.83
SKU00040,Product 40,BrandB,Obsolete,Y,159,126,9.81,13.7
SKU00041,Product 41,BrandD,Obsolete,Y,531,398,14.88,17.94
SKU00042,Product 42,BrandA,Active,Y,77,38,14.35,20.8
SKU00043,Product 43,BrandD,Active,Y,274,110,12.42,15.55
SKU00044,Product 44,BrandB,Active,Y,580,346,8.17,11.07
SKU00045,Product 45,BrandB,Active,Y,116,71,10.73,13.72
SKU00046,Product 46,BrandA,Obsolete,Y,93,45,13.15,18.63
SKU00047,Product 47,BrandB,Discontinued,N,263,135,12.02,15.58
SKU00048,Product 48,BrandE,Active,Y,67,47,6.91,9.79
SKU00049,Product 49,BrandB,Active,Y,93,55,14.74,18.95
SKU00050,Product 50,BrandD,Active,N,33,17,6.1,8.7
SKU00051,Product 51,BrandD,Active,Y,275,178,10.67,12.9
SKU00052,Product 52,BrandD,Discontinued,Y,115,76,15.65,20.11
SKU00053,Product 53,BrandD,Active,Y,363,257,5.3,7.15
SKU00054,Product 54,BrandE,Active,Y,98,45,13.55,16.44
SKU00055,Product 55,BrandC,Active,Y,88,61,10.02,12.58
SKU00056,Product 56,BrandA,Active,Y,847,542,5.13,7.59
SKU00057,Product 57,BrandD,Active,Y,366,155,7.86,11.74
SKU00058,Product 58,BrandB,Active,Y,175,124,19.11,27.17
SKU00059,Product 59,BrandD,Active,N,146,81,12.82,16.35
SKU00060,Product 60,BrandB,Active,Y,265,141,19.96,25.51
SKU00061,Product 61,BrandB,Active,Y,295,171,12.87,17.94
SKU00062,Product 62,BrandD,Active,N,60,32,13.16,16.26
SKU00063,Product 63,BrandE,Active,N,748,400,10.88,16.15
SKU00064,Product 64,BrandB,Active,N,548,396,9.65,12.23
SKU00065,Product 65,BrandB,Active,Y,563,253,8.77,13.15
SKU00066,Product 66,BrandD,Discontinued,Y,172,136,10.15,13.69
SKU00067,Product 67,BrandB,Active,Y,270,168,11.9,17.03
SKU00068,Product 68,BrandB,Obsolete,Y,218,103,7.88,9.46
SKU00069,Product 69,BrandD,Active,N,239,108,8.37,12.28
SKU00070,Product 70,BrandD,Active,Y,202,129,9.07,11.62
SKU00071,Product 71,BrandA,Active,Y,204,133,11.74,16.44
SKU00072,Product 72,BrandE,Active,N,271,114,14.79,21.33
SKU00073,Product 73,BrandE,Obsolete,Y,182,90,17.84,22.29
SKU00074,Product 74,BrandB,Active,Y,256,184,9.31,12.41
SKU00075,Product 75,BrandE,Active,Y,240,101,7.76,10.46
SKU00076,Product 76,BrandB,Active,Y,316,234,10.68,13.82
SKU00077,Product 77,BrandA,Active,N,466,309,18.42,24.77
SKU00078,Product 78,BrandD,Active,Y,80,46,5.15,6.67
SKU00079,Product 79,BrandD,Discontinued,Y,42,23,15.17,19.85
SKU00080,Product 80,BrandD,Active,Y,278,113,12.16,17.03
SKU00081,Product 81,BrandE,Active,Y,286,209,7.42,10.31
SKU00082,Product 82,BrandA,Obsolete,N,4,2,9.82,12.47
SKU00083,Product 83,BrandE,Active,N,41,21,8.37,12.3
SKU00084,Product 84,BrandE,Discontinued,Y,406,255,18.17,26.51
SKU00085,Product 85,BrandA,Active,N,102,51,12.23,16.54
SKU00086,Product 86,BrandA,Active,Y,262,157,13.45,17.89
SKU00087,Product 87,BrandA,Active,Y,297,215,13.91,18.26
SKU00088,Product 88,BrandA,Discontinued,Y,346,204,14.59,20.6
SKU00089,Product 89,BrandD,Active,Y,423,330,12.43,17.42
SKU00090,Product 90,BrandC,Active,Y,153,113,5.27,6.63
SKU00091,Product 91,BrandC,Active,Y,302,161,10.02,14.04
SKU00092,Product 92,BrandA,Active,Y,594,333,7.76,9.9
