item_no,item_description,vendor,item_status,active,quantity,sales_amt
SKU00001,Product 1,BrandD,Discontinued,Y,84,1177.8
SKU00002,Product 2,BrandE,Active,Y,88,1042.22
SKU00003,Product 3,BrandC,Obsolete,Y,100,1515.89
SKU00004,Product 4,BrandE,Active,Y,141,1746.66
SKU00005,Product 5,BrandE,Active,Y,17,373.05
SKU00006,Product 6,BrandB,Active,Y,191,3919.22
SKU00007,Product 7,BrandC,Active,Y,181,2971.47
SKU00008,Product 8,BrandC,Obsolete,Y,62,940.43
SKU00009,Product 9,BrandC,Active,Y,79,1044.97
SKU00010,Product 10,BrandE,Active,Y,94,1859.33
SKU00011,Product 11,BrandD,Active,Y,29,818.26
SKU00012,Product 12,BrandC,Obsolete,Y,111,2562.49
SKU00013,Product 13,BrandE,Active,Y,95,2315.83
SKU00014,Product 14,BrandB,Active,Y,18,474.41
SKU00015,Product 15,BrandD,Obsolete,Y,90,1416.24
SKU00016,Product 16,BrandB,Active,Y,40,375.33
SKU00017,Product 17,BrandD,Active,Y,102,2213.02
SKU00018,Product 18,BrandE,Obsolete,Y,68,826.25
SKU00019,Product 19,BrandA,Active,Y,34,697.64
SKU00020,Product 20,BrandD,Active,Y,67,1626.04
SKU00021,Product 21,BrandB,Active,Y,65,1640.6
SKU00022,Product 22,BrandE,Active,N,66,966.27
SKU00023,Product 23,BrandD,Active,Y,104,2004.45
SKU00024,Product 24,BrandA,Active,Y,54,1169.71
SKU00025,Product 25,BrandA,Active,N,49,1275.4
SKU00026,Product 26,BrandC,Discontinued,Y,71,1757.29
SKU00027,Product 27,BrandC,Active,Y,34,1011.01
SKU00028,Product 28,BrandB,Active,Y,71,580.63
SKU00029,Product 29,BrandD,Discontinued,Y,71,1251.36
SKU00030,Product 30,BrandD,Discontinued,Y,82,1117.9
SKU00031,Product 31,BrandC,Active,Y,82,872.29
SKU00032,Product 32,BrandD,Obsolete,Y,40,1122.13
SKU00033,Product 33,BrandD,Active,Y,68,2036.95
SKU00034,Product 34,BrandA,Active,N,46,550.76
SKU00035,Product 35,BrandC,Active,Y,41,362.67
SKU00036,Product 36,BrandE,Obsolete,Y,24,337.23
SKU00037,Product 37,BrandC,Obsolete,Y,67,1766.59
SKU00038,Product 38,BrandE,Active,Y,40,578.62
SKU00039,Product 39,BrandA,Obsolete,Y,29,268.3
SKU00040,Product 40,BrandB,Obsolete,Y,81,741.54
SKU00041,Product 41,BrandD,Obsolete,Y,127,2210.22
SKU00042,Product 42,BrandA,Active,Y,35,997.51
SKU00043,Product 43,BrandD,Active,Y,89,1271.83
SKU00044,Product 44,BrandB,Active,Y,138,2400.85
SKU00045,Product 45,BrandB,Active,Y,26,266.31
SKU00046,Product 46,BrandA,Obsolete,Y,30,565.76
SKU00047,Product 47,BrandB,Discontinued,N,57,1329.47
SKU00048,Product 48,BrandE,Active,Y,24,335.17
SKU00049,Product 49,BrandB,Active,Y,73,1060.52
SKU00050,Product 50,BrandD,Active,N,13,344.8
SKU00051,Product 51,BrandD,Active,Y,116,954.45
SKU00052,Product 52,BrandD,Discontinued,Y,66,1452.16
SKU00053,Product 53,BrandD,Active,Y,115,1916.53
SKU00054,Product 54,BrandE,Active,Y,72,1048.63
SKU00055,Product 55,BrandC,Active,Y,29,651.54
SKU00056,Product 56,BrandA,Active,Y,187,4929.83
SKU00057,Product 57,BrandD,Active,Y,73,1480.78
SKU00058,Product 58,BrandB,Active,Y,47,408.15
SKU00059,Product 59,BrandD,Active,N,54,980.14
SKU00060,Product 60,BrandB,Active,Y,81,1472.64
SKU00061,Product 61,BrandB,Active,Y,125,2495.45
SKU00062,Product 62,BrandD,Active,N,26,591.79
SKU00063,Product 63,BrandE,Active,N,191,1609.18
SKU00064,Product 64,BrandB,Active,N,190,3618.41
SKU00065,Product 65,BrandB,Active,Y,227,4754.01
SKU00066,Product 66,BrandD,Discontinued,Y,50,777.69
SKU00067,Product 67,BrandB,Active,Y,98,2225.0
SKU00068,Product 68,BrandB,Obsolete,Y,98,1275.95
SKU00069,Product 69,BrandD,Active,N,103,1543.17
SKU00070,Product 70,BrandD,Active,Y,92,2684.62
SKU00071,Product 71,BrandA,Active,Y,96,1503.12
SKU00072,Product 72,BrandE,Active,N,69,1077.99
SKU00073,Product 73,BrandE,Obsolete,Y,53,1118.56
SKU00074,Product 74,BrandB,Active,Y,84,2466.36
SKU00075,Product 75,BrandE,Active,Y,58,1718.41
SKU00076,Product 76,BrandB,Active,Y,108,2241.27
SKU00077,Product 77,BrandA,Active,N,183,1468.38
SKU00078,Product 78,BrandD,Active,Y,55,1529.79
SKU00079,Product 79,BrandD,Discontinued,Y,12,246.54
SKU00080,Product 80,BrandD,Active,Y,142,2279.37
SKU00081,Product 81,BrandE,Active,Y,90,2361.81
SKU00082,Product 82,BrandA,Obsolete,N,15,251.94
SKU00083,Product 83,BrandE,Active,N,15,131.23
SKU00084,Product 84,BrandE,Discontinued,Y,161,4196.24
SKU00085,Product 85,BrandA,Active,N,44,880.39
SKU00086,Product 86,BrandA,Active,Y,83,1281.45
SKU00087,Product 87,BrandA,Active,Y,70,946.37
SKU00088,Product 88,BrandA,Discontinued,Y,144,3033.15
SKU00089,Product 89,BrandD,Active,Y,111,1396.06
SKU00090,Product 90,BrandC,Active,Y,95,1436.85
SKU00091,Product 91,BrandC,Active,Y,76,1672.28
SKU00092,Product 92,BrandA,Active,Y,127,3479.04
SKU00093,Product 93,BrandC,Active,Y,14,276.13
SKU00094,Product 94,BrandC,Active,Y,98,2420.63
SKU00095,Product 95,BrandA,Active,Y,239,5924.17
SKU00096,Product 96,BrandC,Obsolete,Y,72,1628.34
SKU00097,Product 97,BrandE,Obsolete,Y,129,1729.69
SKU00098,Product 98,BrandB,Active,Y,188,5089.04
SKU00099,Product 99,BrandB,Active,Y,34,598.33
SKU00100,Product 100,BrandA,Active,Y,34,305.07
SKU00101,Product 101,BrandD,Active,Y,92,1231.1
SKU00102,Product 102,BrandA,Active,Y,83,2061.89
SKU00103,Product 103,BrandD,Active,Y,118,1123.47
SKU00104,Product 104,BrandB,Active,Y,46,517.13
SKU00105,Product 105,BrandA,Obsolete,Y,58,1349.83
SKU00106,Product 106,BrandE,Active,Y,131,3620.48
SKU00107,Product 107,BrandC,Active,Y,51,1119.05
SKU00108,Product 108,BrandD,Active,Y,45,580.07
SKU00109,Product 109,BrandC,Active,Y,23,211.03
SKU00110,Product 110,BrandC,Active,N,29,624.45
SKU00111,Product 111,BrandA,Active,Y,120,1085.13
SKU00112,Product 112,BrandC,Active,Y,38,816.24
SKU00113,Product 113,BrandE,Active,Y,40,518.51
SKU00114,Product 114,BrandC,Active,N,74,2064.78
SKU00115,Product 115,BrandA,Active,N,77,1420.81
SKU00116,Product 116,BrandE,Active,Y,88,1137.54
SKU00117,Product 117,BrandB,Active,Y,56,1499.08
SKU00118,Product 118,BrandC,Active,Y,68,924.04
SKU00119,Product 119,BrandA,Active,Y,29,427.61
SKU00120,Product 120,BrandB,Obsolete,Y,71,1871.14
SKU00121,Product 121,BrandB,Active,Y,32,473.39
SKU00122,Product 122,BrandD,Active,N,120,2042.83
SKU00123,Product 123,BrandE,Active,Y,105,1643.11
SKU00124,Product 124,BrandC,Active,Y,67,707.57
SKU00125,Product 125,BrandA,Active,Y,74,655.32
SKU00126,Product 126,BrandD,Active,N,114,2729.15
SKU00127,Product 127,BrandE,Discontinued,N,37,821.14
SKU00128,Product 128,BrandD,Obsolete,Y,29,412.15
SKU00129,Product 129,BrandE,Obsolete,Y,57,826.68
SKU00130,Product 130,BrandE,Active,Y,10,287.9
SKU00131,Product 131,BrandC,Active,Y,69,2051.28
SKU00132,Product 132,BrandE,Active,Y,84,1546.91
SKU00133,Product 133,BrandD,Active,Y,248,6362.18
SKU00134,Product 134,BrandE,Active,Y,163,3945.76
SKU00135,Product 135,BrandC,Obsolete,Y,60,872.46
SKU00136,Product 136,BrandC,Active,Y,75,696.63
SKU00137,Product 137,BrandD,Discontinued,Y,51,567.95
SKU00138,Product 138,BrandB,Active,Y,123,3252.42
SKU00139,Product 139,BrandB,Obsolete,Y,120,2890.4
SKU00140,Product 140,BrandE,Active,Y,21,474.92
SKU00141,Product 141,BrandA,Active,Y,217,2359.72
SKU00142,Product 142,BrandE,Active,Y,59,1302.63
SKU00143,Product 143,BrandD,Active,Y,76,1899.04
SKU00144,Product 144,BrandD,Active,Y,120,3231.99
SKU00145,Product 145,BrandD,Discontinued,Y,69,572.09
SKU00146,Product 146,BrandD,Active,Y,67,1544.92
SKU00147,Product 147,BrandD,Active,N,31,261.02
SKU00148,Product 148,BrandC,Active,Y,34,800.74
SKU00149,Product 149,BrandB,Active,Y,57,1253.07
SKU00150,Product 150,BrandD,Active,N,109,1227.74
SKU00151,Product 151,BrandA,Active,Y,108,2684.31
SKU00152,Product 152,BrandA,Active,N,106,1007.39
SKU00153,Product 153,BrandA,Active,Y,107,2801.34
SKU00154,Product 154,BrandA,Active,Y,63,867.03
SKU00155,Product 155,BrandC,Active,Y,65,1505.06
SKU00156,Product 156,BrandA,Active,Y,92,2605.55
SKU00157,Product 157,BrandD,Obsolete,Y,69,1067.86
SKU00158,Product 158,BrandE,Active,N,106,2020.75
SKU00159,Product 159,BrandA,Active,Y,76,1382.33
SKU00160,Product 160,BrandC,Active,Y,45,516.04
SKU00161,Product 161,BrandC,Active,Y,78,1636.98
SKU00162,Product 162,BrandA,Obsolete,Y,30,730.38
SKU00163,Product 163,BrandE,Active,Y,44,1239.53
SKU00164,Product 164,BrandA,Active,Y,160,4274.83
SKU00165,Product 165,BrandC,Active,Y,29,557.39
SKU00166,Product 166,BrandB,Active,Y,59,1405.28
SKU00167,Product 167,BrandD,Active,Y,90,2305.55
SKU00168,Product 168,BrandC,Active,Y,111,2093.1
SKU00169,Product 169,BrandA,Active,Y,43,453.19
SKU00170,Product 170,BrandD,Active,Y,72,1269.68
SKU00171,Product 171,BrandA,Active,Y,49,1300.19
SKU00172,Product 172,BrandA,Active,N,78,1647.84
SKU00173,Product 173,BrandB,Active,Y,112,2681.07
SKU00174,Product 174,BrandD,Active,Y,37,446.81
SKU00175,Product 175,BrandD,Active,Y,219,6398.18
SKU00176,Product 176,BrandB,Discontinued,Y,60,1013.39
